Sexe, Judete, Localitati , Perioade, UM: Numar persoane, Valoare
Total, TOTAL, TOTAL, Anul 2019, Numar persoane, 257865
Total, TOTAL, TOTAL, Anul 2020, Numar persoane, 296051
Total, TOTAL, TOTAL, Anul 2021, Numar persoane, 234757
Total, Alba, TOTAL, Anul 2019, Numar persoane, 5218
Total, Alba, TOTAL, Anul 2020, Numar persoane, 6350
Total, Alba, TOTAL, Anul 2021, Numar persoane, 5040
Total, Arad, TOTAL, Anul 2019, Numar persoane, 2610
Total, Arad, TOTAL, Anul 2020, Numar persoane, 4572
Total, Arad, TOTAL, Anul 2021, Numar persoane, 2949
Total, Arges, TOTAL, Anul 2019, Numar persoane, 7749
Total, Arges, TOTAL, Anul 2020, Numar persoane, 9840
Total, Arges, TOTAL, Anul 2021, Numar persoane, 8254
Total, Bacau, TOTAL, Anul 2019, Numar persoane, 11023
Total, Bacau, TOTAL, Anul 2020, Numar persoane, 11505
Total, Bacau, TOTAL, Anul 2021, Numar persoane, 6878
Total, Bihor, TOTAL, Anul 2019, Numar persoane, 3690
Total, Bihor, TOTAL, Anul 2020, Numar persoane, 5965
Total, Bihor, TOTAL, Anul 2021, Numar persoane, 3523
Total, Bistrita-Nasaud, TOTAL, Anul 2019, Numar persoane, 3329
Total, Bistrita-Nasaud, TOTAL, Anul 2020, Numar persoane, 4375
Total, Bistrita-Nasaud, TOTAL, Anul 2021, Numar persoane, 3930
Total, Botosani, TOTAL, Anul 2019, Numar persoane, 3571
Total, Botosani, TOTAL, Anul 2020, Numar persoane, 4007
Total, Botosani, TOTAL, Anul 2021, Numar persoane, 2835
Total, Brasov, TOTAL, Anul 2019, Numar persoane, 5233
Total, Brasov, TOTAL, Anul 2020, Numar persoane, 6714
Total, Brasov, TOTAL, Anul 2021, Numar persoane, 5123
Total, Braila, TOTAL, Anul 2019, Numar persoane, 4334
Total, Braila, TOTAL, Anul 2020, Numar persoane, 5263
Total, Braila, TOTAL, Anul 2021, Numar persoane, 3643
Total, Buzau, TOTAL, Anul 2019, Numar persoane, 11296
Total, Buzau, TOTAL, Anul 2020, Numar persoane, 13468
Total, Buzau, TOTAL, Anul 2021, Numar persoane, 8138
Total, Caras-Severin, TOTAL, Anul 2019, Numar persoane, 3345
Total, Caras-Severin, TOTAL, Anul 2020, Numar persoane, 3607
Total, Caras-Severin, TOTAL, Anul 2021, Numar persoane, 2392
Total, Calarasi, TOTAL, Anul 2019, Numar persoane, 3242
Total, Calarasi, TOTAL, Anul 2020, Numar persoane, 3890
Total, Calarasi, TOTAL, Anul 2021, Numar persoane, 2843
Total, Cluj, TOTAL, Anul 2019, Numar persoane, 4483
Total, Cluj, TOTAL, Anul 2020, Numar persoane, 6108
Total, Cluj, TOTAL, Anul 2021, Numar persoane, 4442
Total, Constanta, TOTAL, Anul 2019, Numar persoane, 7471
Total, Constanta, TOTAL, Anul 2020, Numar persoane, 8732
Total, Constanta, TOTAL, Anul 2021, Numar persoane, 6454
Total, Covasna, TOTAL, Anul 2019, Numar persoane, 2852
Total, Covasna, TOTAL, Anul 2020, Numar persoane, 4348
Total, Covasna, TOTAL, Anul 2021, Numar persoane, 3269
Total, Dambovita, TOTAL, Anul 2019, Numar persoane, 6624
Total, Dambovita, TOTAL, Anul 2020, Numar persoane, 6182
Total, Dambovita, TOTAL, Anul 2021, Numar persoane, 4613
Total, Dolj, TOTAL, Anul 2019, Numar persoane, 17945
Total, Dolj, TOTAL, Anul 2020, Numar persoane, 18872
Total, Dolj, TOTAL, Anul 2021, Numar persoane, 15375
Total, Galati, TOTAL, Anul 2019, Numar persoane, 10578
Total, Galati, TOTAL, Anul 2020, Numar persoane, 12190
Total, Galati, TOTAL, Anul 2021, Numar persoane, 10626
Total, Giurgiu, TOTAL, Anul 2019, Numar persoane, 1645
Total, Giurgiu, TOTAL, Anul 2020, Numar persoane, 2098
Total, Giurgiu, TOTAL, Anul 2021, Numar persoane, 1979
Total, Gorj, TOTAL, Anul 2019, Numar persoane, 4735
Total, Gorj, TOTAL, Anul 2020, Numar persoane, 5212
Total, Gorj, TOTAL, Anul 2021, Numar persoane, 4295
Total, Harghita, TOTAL, Anul 2019, Numar persoane, 5146
Total, Harghita, TOTAL, Anul 2020, Numar persoane, 6162
Total, Harghita, TOTAL, Anul 2021, Numar persoane, 4639
Total, Hunedoara, TOTAL, Anul 2019, Numar persoane, 5157
Total, Hunedoara, TOTAL, Anul 2020, Numar persoane, 5736
Total, Hunedoara, TOTAL, Anul 2021, Numar persoane, 6231
Total, Ialomita, TOTAL, Anul 2019, Numar persoane, 4231
Total, Ialomita, TOTAL, Anul 2020, Numar persoane, 4581
Total, Ialomita, TOTAL, Anul 2021, Numar persoane, 4116
Total, Iasi, TOTAL, Anul 2019, Numar persoane, 8035
Total, Iasi, TOTAL, Anul 2020, Numar persoane, 9356
Total, Iasi, TOTAL, Anul 2021, Numar persoane, 7987
Total, Ilfov, TOTAL, Anul 2019, Numar persoane, 776
Total, Ilfov, TOTAL, Anul 2020, Numar persoane, 1441
Total, Ilfov, TOTAL, Anul 2021, Numar persoane, 767
Total, Maramures, TOTAL, Anul 2019, Numar persoane, 5185
Total, Maramures, TOTAL, Anul 2020, Numar persoane, 4697
Total, Maramures, TOTAL, Anul 2021, Numar persoane, 3711
Total, Mehedinti, TOTAL, Anul 2019, Numar persoane, 6929
Total, Mehedinti, TOTAL, Anul 2020, Numar persoane, 6503
Total, Mehedinti, TOTAL, Anul 2021, Numar persoane, 5641
